STT,HoTen,NgayVao,ChucVu,BoPhan,GioiTinh,NgaySinh,NoiSinh,TonGiao,TrinhDo,TinhTrangHN,CMND,NgayCap,NoiCap,DiaChiThuongTru,DiaChiTamTru,EmailCongTy,EmailCaNhan,DienThoai,LienHeKhanCap,ChuTK,SoTK,NganHang
49,Nhan Vien 49,19/02/2024,POS04,DEP01,nam,19/02/1990,HN,None,Dai hoc,Doc than,100000000049,19/02/2010,HN,Dia chi TT 49,Dia chi TTam 49,nhanvien49@company.com,nhanvien49@gmail.com,0900000049,0900001049,Nhan Vien 49,7000000049,VCB
50,Nhan Vien 50,20/02/2024,POS05,DEP02,nu,20/02/1990,HN,None,Dai hoc,Doc than,100000000050,20/02/2010,HN,Dia chi TT 50,Dia chi TTam 50,nhanvien50@company.com,nhanvien50@gmail.com,0900000050,0900001050,Nhan Vien 50,7000000050,VCB
51,Nhan Vien 51,21/02/2024,POS01,DEP03,nam,21/02/1990,HN,None,Dai hoc,Doc than,100000000051,21/02/2010,HN,Dia chi TT 51,Dia chi TTam 51,nhanvien51@company.com,nhanvien51@gmail.com,0900000051,0900001051,Nhan Vien 51,7000000051,VCB
52,Nhan Vien 52,22/02/2024,POS02,DEP04,nu,22/02/1990,HN,None,Dai hoc,Doc than,100000000052,22/02/2010,HN,Dia chi TT 52,Dia chi TTam 52,nhanvien52@company.com,nhanvien52@gmail.com,0900000052,0900001052,Nhan Vien 52,7000000052,VCB
53,Nhan Vien 53,23/02/2024,POS03,DEP01,nam,23/02/1990,HN,None,Dai hoc,Doc than,100000000053,23/02/2010,HN,Dia chi TT 53,Dia chi TTam 53,nhanvien53@company.com,nhanvien53@gmail.com,0900000053,0900001053,Nhan Vien 53,7000000053,VCB
54,Nhan Vien 54,24/02/2024,POS04,DEP02,nu,24/02/1990,HN,None,Dai hoc,Doc than,100000000054,24/02/2010,HN,Dia chi TT 54,Dia chi TTam 54,nhanvien54@company.com,nhanvien54@gmail.com,0900000054,0900001054,Nhan Vien 54,7000000054,VCB
55,Nhan Vien 55,25/02/2024,POS05,DEP03,nam,25/02/1990,HN,None,Dai hoc,Doc than,100000000055,25/02/2010,HN,Dia chi TT 55,Dia chi TTam 55,nhanvien55@company.com,nhanvien55@gmail.com,0900000055,0900001055,Nhan Vien 55,7000000055,VCB
56,Nhan Vien 56,26/02/2024,POS01,DEP04,nu,26/02/1990,HN,None,Dai hoc,Doc than,100000000056,26/02/2010,HN,Dia chi TT 56,Dia chi TTam 56,nhanvien56@company.com,nhanvien56@gmail.com,0900000056,0900001056,Nhan Vien 56,7000000056,VCB
57,Nhan Vien 57,27/02/2024,POS02,DEP01,nam,27/02/1990,HN,None,Dai hoc,Doc than,100000000057,27/02/2010,HN,Dia chi TT 57,Dia chi TTam 57,nhanvien57@company.com,nhanvien57@gmail.com,0900000057,0900001057,Nhan Vien 57,7000000057,VCB
58,Nhan Vien 58,28/02/2024,POS03,DEP02,nu,28/02/1990,HN,None,Dai hoc,Doc than,100000000058,28/02/2010,HN,Dia chi TT 58,Dia chi TTam 58,nhanvien58@company.com,nhanvien58@gmail.com,0900000058,0900001058,Nhan Vien 58,7000000058,VCB
59,Nhan Vien 59,29/02/2024,POS04,DEP03,nam,01/03/1990,HN,None,Dai hoc,Doc than,100000000059,01/03/2010,HN,Dia chi TT 59,Dia chi TTam 59,nhanvien59@company.com,nhanvien59@gmail.com,0900000059,0900001059,Nhan Vien 59,7000000059,VCB
60,Nhan Vien 60,01/03/2024,POS05,DEP04,nu,02/03/1990,HN,None,Dai hoc,Doc than,100000000060,02/03/2010,HN,Dia chi TT 60,Dia chi TTam 60,nhanvien60@company.com,nhanvien60@gmail.com,0900000060,0900001060,Nhan Vien 60,7000000060,VCB
61,Nhan Vien 61,02/03/2024,POS01,DEP01,nam,03/03/1990,HN,None,Dai hoc,Doc than,100000000061,03/03/2010,HN,Dia chi TT 61,Dia chi TTam 61,nhanvien61@company.com,nhanvien61@gmail.com,0900000061,0900001061,Nhan Vien 61,7000000061,VCB
62,Nhan Vien 62,03/03/2024,POS02,DEP02,nu,04/03/1990,HN,None,Dai hoc,Doc than,100000000062,04/03/2010,HN,Dia chi TT 62,Dia chi TTam 62,nhanvien62@company.com,nhanvien62@gmail.com,0900000062,0900001062,Nhan Vien 62,7000000062,VCB
63,Nhan Vien 63,04/03/2024,POS03,DEP03,nam,05/03/1990,HN,None,Dai hoc,Doc than,100000000063,05/03/2010,HN,Dia chi TT 63,Dia chi TTam 63,nhanvien63@company.com,nhanvien63@gmail.com,0900000063,0900001063,Nhan Vien 63,7000000063,VCB
64,Nhan Vien 64,05/03/2024,POS04,DEP04,nu,06/03/1990,HN,None,Dai hoc,Doc than,100000000064,06/03/2010,HN,Dia chi TT 64,Dia chi TTam 64,nhanvien64@company.com,nhanvien64@gmail.com,0900000064,0900001064,Nhan Vien 64,7000000064,VCB
65,Nhan Vien 65,06/03/2024,POS05,DEP01,nam,07/03/1990,HN,None,Dai hoc,Doc than,100000000065,07/03/2010,HN,Dia chi TT 65,Dia chi TTam 65,nhanvien65@company.com,nhanvien65@gmail.com,0900000065,0900001065,Nhan Vien 65,7000000065,VCB
66,Nhan Vien 66,07/03/2024,POS01,DEP02,nu,08/03/1990,HN,None,Dai hoc,Doc than,100000000066,08/03/2010,HN,Dia chi TT 66,Dia chi TTam 66,nhanvien66@company.com,nhanvien66@gmail.com,0900000066,0900001066,Nhan Vien 66,7000000066,VCB
67,Nhan Vien 67,08/03/2024,POS02,DEP03,nam,09/03/1990,HN,None,Dai hoc,Doc than,100000000067,09/03/2010,HN,Dia chi TT 67,Dia chi TTam 67,nhanvien67@company.com,nhanvien67@gmail.com,0900000067,0900001067,Nhan Vien 67,7000000067,VCB
68,Nhan Vien 68,09/03/2024,POS03,DEP04,nu,10/03/1990,HN,None,Dai hoc,Doc than,100000000068,10/03/2010,HN,Dia chi TT 68,Dia chi TTam 68,nhanvien68@company.com,nhanvien68@gmail.com,0900000068,0900001068,Nhan Vien 68,7000000068,VCB
69,Nhan Vien 69,10/03/2024,POS04,DEP01,nam,11/03/1990,HN,None,Dai hoc,Doc than,100000000069,11/03/2010,HN,Dia chi TT 69,Dia chi TTam 69,nhanvien69@company.com,nhanvien69@gmail.com,0900000069,0900001069,Nhan Vien 69,7000000069,VCB
70,Nhan Vien 70,11/03/2024,POS05,DEP02,nu,12/03/1990,HN,None,Dai hoc,Doc than,100000000070,12/03/2010,HN,Dia chi TT 70,Dia chi TTam 70,nhanvien70@company.com,nhanvien70@gmail.com,0900000070,0900001070,Nhan Vien 70,7000000070,VCB
71,Nhan Vien 71,12/03/2024,POS01,DEP03,nam,13/03/1990,HN,None,Dai hoc,Doc than,100000000071,13/03/2010,HN,Dia chi TT 71,Dia chi TTam 71,nhanvien71@company.com,nhanvien71@gmail.com,0900000071,0900001071,Nhan Vien 71,7000000071,VCB
72,Nhan Vien 72,13/03/2024,POS02,DEP04,nu,14/03/1990,HN,None,Dai hoc,Doc than,100000000072,14/03/2010,HN,Dia chi TT 72,Dia chi TTam 72,nhanvien72@company.com,nhanvien72@gmail.com,0900000072,0900001072,Nhan Vien 72,7000000072,VCB
73,Nhan Vien 73,14/03/2024,POS03,DEP01,nam,15/03/1990,HN,None,Dai hoc,Doc than,100000000073,15/03/2010,HN,Dia chi TT 73,Dia chi TTam 73,nhanvien73@company.com,nhanvien73@gmail.com,0900000073,0900001073,Nhan Vien 73,7000000073,VCB
74,Nhan Vien 74,15/03/2024,POS04,DEP02,nu,16/03/1990,HN,None,Dai hoc,Doc than,100000000074,16/03/2010,HN,Dia chi TT 74,Dia chi TTam 74,nhanvien74@company.com,nhanvien74@gmail.com,0900000074,0900001074,Nhan Vien 74,7000000074,VCB
75,Nhan Vien 75,16/03/2024,POS05,DEP03,nam,17/03/1990,HN,None,Dai hoc,Doc than,100000000075,17/03/2010,HN,Dia chi TT 75,Dia chi TTam 75,nhanvien75@company.com,nhanvien75@gmail.com,0900000075,0900001075,Nhan Vien 75,7000000075,VCB
76,Nhan Vien 76,17/03/2024,POS01,DEP04,nu,18/03/1990,HN,None,Dai hoc,Doc than,100000000076,18/03/2010,HN,Dia chi TT 76,Dia chi TTam 76,nhanvien76@company.com,nhanvien76@gmail.com,0900000076,0900001076,Nhan Vien 76,7000000076,VCB
77,Nhan Vien 77,18/03/2024,POS02,DEP01,nam,19/03/1990,HN,None,Dai hoc,Doc than,100000000077,19/03/2010,HN,Dia chi TT 77,Dia chi TTam 77,nhanvien77@company.com,nhanvien77@gmail.com,0900000077,0900001077,Nhan Vien 77,7000000077,VCB
78,Nhan Vien 78,19/03/2024,POS03,DEP02,nu,20/03/1990,HN,None,Dai hoc,Doc than,100000000078,20/03/2010,HN,Dia chi TT 78,Dia chi TTam 78,nhanvien78@company.com,nhanvien78@gmail.com,0900000078,0900001078,Nhan Vien 78,7000000078,VCB
79,Nhan Vien 79,20/03/2024,POS04,DEP03,nam,21/03/1990,HN,None,Dai hoc,Doc than,100000000079,21/03/2010,HN,Dia chi TT 79,Dia chi TTam 79,nhanvien79@company.com,nhanvien79@gmail.com,0900000079,0900001079,Nhan Vien 79,7000000079,VCB
80,Nhan Vien 80,21/03/2024,POS05,DEP04,nu,22/03/1990,HN,None,Dai hoc,Doc than,100000000080,22/03/2010,HN,Dia chi TT 80,Dia chi TTam 80,nhanvien80@company.com,nhanvien80@gmail.com,0900000080,0900001080,Nhan Vien 80,7000000080,VCB
81,Nhan Vien 81,22/03/2024,POS01,DEP01,nam,23/03/1990,HN,None,Dai hoc,Doc than,100000000081,23/03/2010,HN,Dia chi TT 81,Dia chi TTam 81,nhanvien81@company.com,nhanvien81@gmail.com,0900000081,0900001081,Nhan Vien 81,7000000081,VCB
82,Nhan Vien 82,23/03/2024,POS02,DEP02,nu,24/03/1990,HN,None,Dai hoc,Doc than,100000000082,24/03/2010,HN,Dia chi TT 82,Dia chi TTam 82,nhanvien82@company.com,nhanvien82@gmail.com,0900000082,0900001082,Nhan Vien 82,7000000082,VCB
83,Nhan Vien 83,24/03/2024,POS03,DEP03,nam,25/03/1990,HN,None,Dai hoc,Doc than,100000000083,25/03/2010,HN,Dia chi TT 83,Dia chi TTam 83,nhanvien83@company.com,nhanvien83@gmail.com,0900000083,0900001083,Nhan Vien 83,7000000083,VCB
84,Nhan Vien 84,25/03/2024,POS04,DEP04,nu,26/03/1990,HN,None,Dai hoc,Doc than,100000000084,26/03/2010,HN,Dia chi TT 84,Dia chi TTam 84,nhanvien84@company.com,nhanvien84@gmail.com,0900000084,0900001084,Nhan Vien 84,7000000084,VCB
85,Nhan Vien 85,26/03/2024,POS05,DEP01,nam,27/03/1990,HN,None,Dai hoc,Doc than,100000000085,27/03/2010,HN,Dia chi TT 85,Dia chi TTam 85,nhanvien85@company.com,nhanvien85@gmail.com,0900000085,0900001085,Nhan Vien 85,7000000085,VCB
86,Nhan Vien 86,27/03/2024,POS01,DEP02,nu,28/03/1990,HN,None,Dai hoc,Doc than,100000000086,28/03/2010,HN,Dia chi TT 86,Dia chi TTam 86,nhanvien86@company.com,nhanvien86@gmail.com,0900000086,0900001086,Nhan Vien 86,7000000086,VCB
87,Nhan Vien 87,28/03/2024,POS02,DEP03,nam,29/03/1990,HN,None,Dai hoc,Doc than,100000000087,29/03/2010,HN,Dia chi TT 87,Dia chi TTam 87,nhanvien87@company.com,nhanvien87@gmail.com,0900000087,0900001087,Nhan Vien 87,7000000087,VCB
88,Nhan Vien 88,29/03/2024,POS03,DEP04,nu,30/03/1990,HN,None,Dai hoc,Doc than,100000000088,30/03/2010,HN,Dia chi TT 88,Dia chi TTam 88,nhanvien88@company.com,nhanvien88@gmail.com,0900000088,0900001088,Nhan Vien 88,7000000088,VCB
89,Nhan Vien 89,30/03/2024,POS04,DEP01,nam,31/03/1990,HN,None,Dai hoc,Doc than,100000000089,31/03/2010,HN,Dia chi TT 89,Dia chi TTam 89,nhanvien89@company.com,nhanvien89@gmail.com,0900000089,0900001089,Nhan Vien 89,7000000089,VCB
90,Nhan Vien 90,31/03/2024,POS05,DEP02,nu,01/04/1990,HN,None,Dai hoc,Doc than,100000000090,01/04/2010,HN,Dia chi TT 90,Dia chi TTam 90,nhanvien90@company.com,nhanvien90@gmail.com,0900000090,0900001090,Nhan Vien 90,7000000090,VCB
91,Nhan Vien 91,01/04/2024,POS01,DEP03,nam,02/04/1990,HN,None,Dai hoc,Doc than,100000000091,02/04/2010,HN,Dia chi TT 91,Dia chi TTam 91,nhanvien91@company.com,nhanvien91@gmail.com,0900000091,0900001091,Nhan Vien 91,7000000091,VCB
92,Nhan Vien 92,02/04/2024,POS02,DEP04,nu,03/04/1990,HN,None,Dai hoc,Doc than,100000000092,03/04/2010,HN,Dia chi TT 92,Dia chi TTam 92,nhanvien92@company.com,nhanvien92@gmail.com,0900000092,0900001092,Nhan Vien 92,7000000092,VCB
93,Nhan Vien 93,03/04/2024,POS03,DEP01,nam,04/04/1990,HN,None,Dai hoc,Doc than,100000000093,04/04/2010,HN,Dia chi TT 93,Dia chi TTam 93,nhanvien93@company.com,nhanvien93@gmail.com,0900000093,0900001093,Nhan Vien 93,7000000093,VCB
94,Nhan Vien 94,04/04/2024,POS04,DEP02,nu,05/04/1990,HN,None,Dai hoc,Doc than,100000000094,05/04/2010,HN,Dia chi TT 94,Dia chi TTam 94,nhanvien94@company.com,nhanvien94@gmail.com,0900000094,0900001094,Nhan Vien 94,7000000094,VCB
95,Nhan Vien 95,05/04/2024,POS05,DEP03,nam,06/04/1990,HN,None,Dai hoc,Doc than,100000000095,06/04/2010,HN,Dia chi TT 95,Dia chi TTam 95,nhanvien95@company.com,nhanvien95@gmail.com,0900000095,0900001095,Nhan Vien 95,7000000095,VCB
